,name,Level
0,Titanic Survival Prediction,beginner
1,Iris Flower Classification,beginner
2,Movie Recommendation System,beginner
3,Stock Price Analysis,beginner
4,House Price Prediction,beginner
5,Handwritten Digit Recognition,beginner
6,Basic Customer Churn Analysis,beginner
7,Weather Data Visualization,beginner
8,Sentiment Analysis of Product Reviews,beginner
9,Basic Anomaly Detection,beginner
10,Simple Spam Email Classifier,beginner
11,Predicting Heart Disease,beginner
12,Loan Default Prediction,beginner
13,Basic Credit Scoring Model,beginner
14,Airline Delay Prediction,beginner
15,Average Temperature Calculation,beginner
16,Sales Data Visualization,beginner
17,Basic Email Sentiment Analysis,beginner
18,Car Price Prediction,beginner
19,Basic Image Classification,beginner
20,Student Performance Prediction,beginner
21,Analyzing Movie Ratings,beginner
22,Basic Text Classification,beginner
23,Wine Quality Prediction,beginner
24,Basic Fraud Detection,beginner
25,Predicting Insurance Claims,beginner
26,Recipe Ingredient Analysis,beginner
27,Music Genre Classification,beginner
28,Basic Text Summarization,beginner
29,Predicting Diabetes,beginner
30,Basic Time Series Analysis,beginner
31,Customer Review Analysis,beginner
32,Movie Genre Classification,beginner
33,Analyzing COVID-19 Trends,beginner
34,Loan Amount Prediction,beginner
35,Basic Data Cleaning and Preprocessing,beginner
36,Predicting Housing Prices,beginner
37,Basic Sentiment Analysis on News Articles,beginner
38,Stock Market Trend Analysis,beginner
39,Building a Simple Chatbot,beginner
40,Basic Network Analysis,beginner
41,Predicting Car Loan Default,beginner
42,Identifying Spam vs. Non-Spam Messages,beginner
43,Basic NLP for Text Analysis,beginner
44,Daily Step Count Analysis,beginner
45,Basic Clustering of Products,beginner
46,Predicting Energy Consumption,beginner
47,Restaurant Review Analysis,beginner
48,Predicting Flight Delays,beginner
49,Basic Twitter Sentiment Analysis,beginner
50,Simple House Value Estimator,beginner
51,Analyzing Book Ratings,beginner
52,Predicting Restaurant Success,beginner
53,Basic Sales Forecasting,beginner
54,Analyzing Online Shopping Data,beginner
55,Simple Image Recognition,beginner
56,Predicting Loan Approval,beginner
57,Weather Forecast Analysis,beginner
58,Basic Customer Satisfaction Analysis,beginner
59,Analyzing Travel Data,beginner
60,Predicting Loan Interest Rates,beginner
61,Basic Predictive Text Model,beginner
62,Analyzing Traffic Data,beginner
63,Building a Simple Recommendation System,beginner
64,Predicting School Dropout Rates,beginner
65,Basic Market Basket Analysis,beginner
66,Identifying Product Trends,beginner
67,Basic Speech Emotion Recognition,beginner
68,Simple Credit Risk Modeling,beginner
69,Customer Purchase Pattern Analysis,beginner
70,Analyzing Fitness Tracker Data,beginner
71,Predicting Employee Attrition,beginner
72,Basic Financial Forecasting,beginner
73,Building a Simple Quiz App,beginner
74,Predicting Book Sales,beginner
75,Basic Geolocation Data Analysis,beginner
76,Analyzing Restaurant Sales Data,beginner
77,Simple Pattern Recognition in Data,beginner
78,Predicting User Engagement,beginner
79,Basic Weather Data Prediction,beginner
80,Analyzing User Activity Logs,beginner
81,Predicting Product Returns,beginner
82,Basic Data Visualization Techniques,beginner
83,Building a Basic Sales Dashboard,beginner
84,Predicting Taxi Fare,beginner
85,Basic Text Data Cleaning,beginner
86,Analyzing Survey Data,beginner
87,Simple Stock Market Prediction,beginner
88,Predicting TV Show Ratings,beginner
89,Basic E-commerce Data Analysis,beginner
90,Analyzing Sports Statistics,beginner
91,Simple Customer Segmentation,beginner
92,Predicting Event Attendance,beginner
93,Basic Text Mining,beginner
94,Analyzing Job Market Trends,beginner
95,Simple Recommendation Engine,beginner
96,Predicting Social Media Engagement,beginner
97,Basic Financial Data Analysis,beginner
98,Analyzing Customer Feedback,beginner
99,Simple Text Classification Model,beginner
100,Predicting Employee Performance,beginner
101,Basic Real Estate Market Analysis,beginner
102,Analyzing Customer Demographics,beginner
103,Simple Text Classification for News Articles,beginner
104,Predicting Book Recommendations,beginner
105,Basic Movie Box Office Prediction,beginner
106,Analyzing Traffic Accident Data,beginner
107,Predicting Customer Lifetime Value,beginner
108,Simple Credit Card Transaction Classification,beginner
109,Basic Anomaly Detection in Transactions,beginner
110,Predicting Job Application Success,beginner
111,Analyzing Historical Temperature Data,beginner
112,Simple Sentiment Analysis on Product Feedback,beginner
113,Predicting Energy Usage,beginner
114,Basic Weather Impact Analysis on Sales,beginner
115,Analyzing Sports Team Performance,beginner
116,Simple Document Classification,beginner
117,Predicting Gym Membership Retention,beginner
118,Basic Forecasting of Product Demand,beginner
119,Analyzing Online Review Trends,beginner
120,Predicting Click-Through Rates,beginner
121,Basic Data Exploration with Pandas,beginner
122,Building a Basic Survey Analysis Tool,beginner
123,Predicting Employee Satisfaction,beginner
124,Analyzing E-commerce Purchase Patterns,beginner
125,Simple Social Media Sentiment Analysis,beginner
126,Predicting Retail Stock Levels,beginner
127,Basic Time Series Analysis of Sales Data,beginner
128,Analyzing Job Market Salary Trends,beginner
129,Predicting Customer Support Ticket Volume,beginner
130,Simple Restaurant Table Reservation Analysis,beginner
131,Building a Basic Churn Prediction Model,beginner
132,Predicting Product Launch Success,beginner
133,Basic Analysis of Customer Purchase Frequency,beginner
134,Analyzing User Feedback on Apps,beginner
135,Predicting Loan Approval Rates,beginner
136,Basic Model for Analyzing Patient Health Records,beginner
137,Analyzing Financial Market Data,beginner
138,Predicting Online Ad Conversion Rates,beginner
139,Simple Analysis of Website User Behavior,beginner
140,Building a Basic Personal Finance Dashboard,beginner
141,Predicting Demand for Delivery Services,beginner
142,Basic Text Analysis for Blog Posts,beginner
143,Analyzing Purchase Behavior in Online Retail,beginner
144,Predicting User Retention in Apps,beginner
145,Simple Analysis of Consumer Electronics Trends,beginner
146,Building a Basic Time Series Forecasting Model,beginner
147,Predicting Loan Repayment Success,beginner
148,Basic Analysis of Social Media Campaigns,beginner
149,Analyzing Real Estate Investment Opportunities,beginner
150,Simple Movie Recommendation Engine,beginner
151,Predicting Customer Review Scores,beginner
152,Basic Customer Purchase Pattern Analysis,beginner
153,Analyzing Online Advertising Effectiveness,beginner
154,Predicting Traffic Patterns for Delivery Services,beginner
155,Basic Data Analysis for Sports Performance,beginner
156,Analyzing Market Demand for New Products,beginner
157,Simple Model for Predicting Product Returns,beginner
158,Predicting Online User Activity,beginner
159,Basic Analysis of Academic Performance Data,beginner
160,Analyzing Trends in Travel Data,beginner
161,Predicting Restaurant Menu Item Success,beginner
162,Simple Text Classification for Emails,beginner
163,Analyzing Patterns in Financial Transactions,beginner
164,Predicting Success of Marketing Campaigns,beginner
165,Basic Analysis of Subscription Service Data,beginner
166,Building a Simple Product Recommendation System,beginner
167,Predicting Social Media Post Engagement,beginner
168,Analyzing User Behavior in Mobile Apps,beginner
169,Basic Forecasting for Online Sales,beginner
170,Predicting Customer Purchase Behavior,beginner
171,Simple Sentiment Analysis for Online Reviews,beginner
172,Analyzing Health Data for Predictive Insights,beginner
173,Predicting Click-Through Rates for Ads,beginner
174,Basic Customer Satisfaction Analysis,beginner
175,Analyzing Trends in E-commerce Data,beginner
176,Predicting Travel Booking Trends,beginner
177,Simple Analysis of Market Basket Data,beginner
178,Building a Basic Customer Segmentation Model,beginner
179,Predicting Restaurant Revenue,beginner
180,Basic Analysis of Fitness Data,beginner
181,Analyzing Trends in Music Streaming Data,beginner
182,Predicting Success of Online Courses,beginner
183,Simple Text Mining for Product Descriptions,beginner
184,Analyzing Data from User Surveys,beginner
185,Predicting Book Popularity,beginner
186,Basic Forecasting of Seasonal Sales,beginner
187,Analyzing Trends in Retail Data,beginner
188,Predicting User Engagement in Social Media,beginner
189,Simple Analysis of Digital Marketing Data,beginner
190,Building a Basic Recommendation System for Books,beginner
191,Predicting Customer Feedback Scores,beginner
192,Basic Analysis of Fitness Tracker Trends,beginner
193,Analyzing Travel Data for Insights,beginner
194,Predicting Success of New Product Launches,beginner
195,Simple Analysis of App Usage Data,beginner
196,Building a Basic Model for Product Demand,beginner
197,Predicting Sales Trends for Retail,beginner
198,Basic Analysis of User Review Data,beginner
199,Analyzing Data for Restaurant Menu Optimization,beginner
200,Predicting Weather-Related Sales Trends,beginner
201,Basic Analysis of Customer Loyalty Programs,beginner
202,Analyzing Impact of Advertising on Sales,beginner
203,Simple User Behavior Analytics,beginner
204,Predicting Customer Visit Frequency,beginner
205,Basic Analysis of Online Purchase Patterns,beginner
206,Building a Simple Model for Product Price Optimization,beginner
207,Predicting Seasonal Trends in Sales Data,beginner
208,Basic Text Analysis for Customer Feedback,beginner
209,Analyzing Trends in Subscription Service Usage,beginner
210,Predicting Delivery Times for Orders,beginner
211,Simple Forecasting of Product Demand,beginner
212,Analyzing Engagement Metrics for Content,beginner
213,Predicting Customer Conversion Rates,beginner
214,Basic Analysis of Social Media Interaction,beginner
215,Building a Basic Customer Review Analyzer,beginner
216,Predicting Gym Attendance Trends,beginner
217,Analyzing Sales Trends by Region,beginner
218,Simple Text Classification for Movie Reviews,beginner
219,Predicting Product Purchase Likelihood,beginner
220,Basic Analysis of E-commerce Click Data,beginner
